form	sense	pos
mins	minder, weniger	Adverb, Comparative
minznan	abnehmen	Verb
missadeþs*	Missetat	Noun, common, feminine
missaleiks	verschieden	Adjective
missaqiss	Zwiespalt, Mißrede	Noun, common, feminine
missataujands	Übeltäter	<none>
misso	einander	Adverb
mitadjo	Maß	Noun, common, feminine
mitan	messen	Verb
ga-mitan	zumessen	Verb
us-mitan	wandeln, sich benehmen, leben	Verb
mitaþs	Maß	Noun, common, feminine
miton	ermessen, denken, überlegen	Verb
ufar-miton	vergessen	Verb
mitons	Überlegung, Gedanke	Noun, common, feminine
miþ	mit, bei, unter	Preposition, +D
miþgardawaddjus	Zwischenwand	<none>
miþþan	inzwischen	Adverb
miþþanei	während	Conjunction
miþwissei	Bewußtsein, Gewissen	Noun, common, feminine
mizdo	Lohn	Noun, common, feminine
modags	zornig auf 	Adjective
af-mojan*	ermüdet	<none>
Moses	Moses	Noun, proper
mota	Zoll	Noun, common, feminine
ga-motan*	Raum finden	Verb
motareis	Zöllner	Noun, common, masculine
motastaþs	Zollstätte	Noun, common, masculine
ga-motjan	einem begegnen	Verb
wiþra-gamotjan	einem begegnen	Verb
moþs*	Zorn	Noun, common, masculine
mukamodei*	Nachgiebigkeit, Sanftmut	Noun, common, feminine
mulda	Staub	Noun, common, feminine
muldeins	von Staub, irdisch	Adjective
faur-mūljan	einem das Maul verbinden	Verb
munan	meinen, glauben, dafür halten	Verb
ga-munan	sich einer Sache	Verb
munan	etw. zu tun gedenken, wollen	Verb
mundon	einen besehn, sehen auf	Verb
mundrei*	Ziel	Noun, common, feminine
ufar-munnon	vergessen	Verb
muns	Gedanke, Meinung	Noun, common, masculine
munþs	Mund	Noun, common, masculine
Nabaw*	Nabaw*	Noun, proper
nadre	Natter	Noun, common
[Naem]	[Naem]	Noun, proper
Naggai*	Naggai*	Noun, proper
ga-nagljan	festnageln an	Verb
bi-nah	es ist erlaubt, nötig	Verb
ga-nah	es genügt einem	Verb
Nahasson	Nahasson	Noun, proper
nahtamats	, Abendessen, Abendmahl, Gastmahl	Noun, common, masculine
nahts	Nacht	Noun, common, feminine
Naiman	Naiman	Noun, proper
naiteins	Lästerung	Noun, common, feminine
ga-naitjan	beschimpfen	Verb
Naitofaþeis	Naitofaþeis	Noun, proper
Nakor	Nakor	Noun, proper
namnjan	nennen	Verb
ga-namnjan	benennen	Verb
namo	Name	Noun, common, neuter
ana-nanþjan	Mut fassen, sich erkühnen	Verb
†ga-nanþjan	aufhören	Verb
naqadei	Nacktheit	Noun, common, feminine
naqaþs	nackt	Adjective
nardus	Narde	Noun, common, masculine
naseins	Rettung, Heil	Noun, common, feminine
nasjan	retten	Verb
nasjands	Heiland	Noun, common, masculine
ga-nasjan	erretten, herstellen	Verb
nati	Netz	Noun, common, neuter
natjan	netzen	Verb
ga-natjan	benetzen	Verb
Naþan	Naþan	Noun, proper
Naubaimbair	November	Foreign word
naudibandi	Kette, Handschellen	Noun, common, feminine
naudiþaurfts	notwendig	Adjective
naudiþaurfts	Notwendigkeit	Noun, common, feminine
Nauel	Nauel	Noun, proper
nauh	noch	Adverb
nauhþan	noch	Unassigned
nauhþanuh	noch	Unassigned
nauhuþþan	und sogar noch	Unassigned
Naum	Naum	Noun, proper
naus	der Tote	Noun, common, masculine
nauþjan	nötigen	Verb
ana-nauþjan	durch Zwang veranlassen	Verb
nauþs	Not, Zwang	Noun, common, feminine
nawis	tot	Adjective
ga-nawistron	begraben	Verb
miþ-ganawistron	einen mit jemand  begraben	Verb
Nazaraiþ	Nazaraiþ	Noun, proper
Nazoraius	Nazoräer, Nazarener	Noun, proper
Nazorenus*	Nazoräer, Nazarener	Noun, proper
ne	nein	Unassigned
neƕ	nahe	Adverb
neƕis	näher	Adverb, Comparative
neƕa	nahe	Adverb, locative
neƕjan	sich einem nähern	Verb
at-neƕjan	herannahen	Verb
neƕundja	der Nächste	Noun, common, masculine
nei	nicht	Unassigned
neiþ	Neid	Noun, common, neuter
Ne(i)kaudemus	Nekaudemus	<none>
neiwan*	es auf jemand abgesehn haben	Verb
Nerins	Nerins	Noun, proper
neþla	Nadel	Noun, common, feminine
ni	nicht	Unassigned
nibai, niba	doch nicht etwa?	Unassigned
nidwa	das Verzehren, der Rost	Noun, common
nih	und nicht, auch nicht, nicht	Unassigned
Nikaudemus	Nikaudemus	Noun, proper
niman	nehmen, annehmen, aufnehmen, empfangen, fangen	Verb
af-niman	abnehmen, wegnehmen	Verb
and-niman	annehmen, aufnehmen, empfangen	Verb
at-niman	aufnehmen; wohin versetzen	Verb
bi-niman	wegnehmen	Verb
dis-niman	besitzen	Verb
fra-niman	nehmen	Verb
ga-niman	mitnehmen	Verb
in-niman	hernehmen	Verb
miþ-niman	annehmen, gelten lassen	Verb
us-niman	herausnehmen, wegnehmen	Verb
ga-nisan	genesen, errettet werden	Verb
nist	nist	Unassigned
niþan	helfen	Verb
niþjis	Verwandter	Noun, common, masculine
niþjo	die Verwandte	Noun, common, feminine
niu	nicht	Unassigned
niuhseins	Heimsuchung	Noun, common, feminine
bi-niuhsjan	auskundschaften, ausspionieren	Verb
ana-niujan	erneuern	Verb
niujasatiþs*	 der Neubekehrte, der Neuling	Participle, past
niujis	neu	Adjective
niujiþa	Neuheit	Noun, common, feminine
niuklahei	Unverstand	Noun, common, feminine
niuklahs	unmündig, kindisch	Adjective
niun	neun	Numeral, cardinal
niunda	der neunte	Numeral, ordinal
niuntehund	neunzig	Numeral, cardinal
niutan	treffen, erreichen; einer Sache froh sein	Verb
ga-niutan	ergreifen, erwischen	Verb
ga-nohjan	die er uns reichlich gewährte	Verb
ga-nohnan	zur Genüge versehn sein mit 	Verb
notin	auf dem Achterdeck	Noun, common
nu	nun, jetzt	Adverb
nuh	denn	Unassigned
nunu	demnach, daher	Unassigned
nuta	Fänger, Fischer	Noun, common, masculine
Nwmfan	Nwmfan	Noun, proper
o	ach, pfui	Interjection
Obeid*	Obeid*	Noun, proper
Odueia*	Odueia*	Noun, proper
ogan*	sich fürchten vor 	Verb
ogjan	einen schrecken	Verb
ohteigo	Zeit habend	<none>
Osaiin	Osaiin	Noun, proper
osanna	osanna	Foreign word
paida	Leibrock, Unterkleid	Noun, common, feminine
ga-paidon	 bekleiden	Verb
paintekuste*	paintekuste*	Noun, common
Paitrus	Paitrus	Noun, proper
papan	Presbyter, Geistlicher	Noun, common
parakletus	Tröster	Noun, common, masculine
paraskaiwe	Rüsttag	Noun, common
paska	paska	Noun, common
pasxa	pasxa	<none>
Pauntius*	Pauntius*	Noun, proper
paurpura	Purpur	Noun, common
paurpaura	paurpaura	<none>
paurpuroþs	purpurn	Adjective
Pawlus	Pawlus	Noun, proper
peikabagms	Palmbaum	Noun, common, masculine
Peilatus	Peilatus	Noun, proper
[pistikeins]	unverfälschte o. flüssige Narde	Adjective
plapja	Straße	Noun, common, feminine
plat	Flicken	Noun, common
plinsjan	tanzen	Verb
ana-praggan	bedrängen	Verb
praitoriaun	praitoriaun	Noun, common
praizbwtairei	christlich. Gemeindebehörde	Noun, common, feminine
praizbwtairi*	praizbwtairi*	Noun, common, neuter
praufeteis	Prophetin	Noun, common, feminine
praufetes	Prophet	Noun, common
praufetja	Weissagung	Noun, common
praufetjan	weissagen	Verb
Priska	Priska	Noun, proper
psalmon	Psalm	Noun, common
pugg	Geldbeutel	Noun, common
pund	Pfund	Noun, common
qainon	weinen, trauern	Verb
qairrei	Sanftmut	Noun, common, feminine
qairrus	sanft, freundlich gegen	Adjective
qairu	Pfahl, Stachel	Noun, common, neuter
Qartus	Quartus	Noun, proper
qens	Eheweib	Noun, common, feminine
qiman	kommen	Verb
ana-qiman	hinzutreten	Verb
bi-qiman	einen überfallen	Verb
faura-qiman	vor jemand hergehn	Verb
fra-qiman	etw. verzehren, ausgeben, vertun	Verb
ga-qiman	zusammenkommen	Verb
miþ-qiman	mitkommen mit	Verb
us-qiman	umbringen, den Tod geben	Verb
qinakunds	weiblichen Geschlechts	Adjective
qineins	Frauenzimmer, Weibsleute	Adjective
qino	femina, Weib	Noun, common, feminine
qisteins	Verderben	Noun, common, feminine
qistjan	verderben	Verb
fra-qistjan	verderben, umbringen	Verb
us-qistjan	verderben, umbringen	Verb
fra-qistnan	umkommen, zugrunde gehn	Verb
qiþan	sagen	Verb
af-qiþan	verzichten auf	Verb
ana-qiþan	verleumden, verlästern	Verb
and-qiþan	Abschied nehmen 	Verb
faur-qiþan	sich entschuldigen	Verb
faura-qiþan	vorhersagen	Verb
fra-qiþan	für ungültig erklären, aufheben	Verb
ga-qiþan	sich verabreden, übereinkommen, beschließen	Verb
miþ-qiþan	mitsprechen, nachsprechen	Verb
us-qiþan	ein Gerede verbreiten	Verb
qiþuhafto	die Schwangere	Noun, common, feminine
qiþus	Magen; Mutterschoß	Noun, common, masculine
ana-qiujan	beleben	Verb
ga-qiujan	beleben	Verb
miþ-gaqiujan	mitbeleben	Verb
ga-qiunan	aufleben	Verb
qius*	lebendig	Adjective
†qrammiþa	Feuchtigkeit	Noun, common, feminine
qums	das Kommen; Gegenwart, Ankunft, Wiederkunft Christi	Noun, common, masculine
rabbaunei	rabbaunei	Foreign word
rabbei	rabbei	Foreign word
Ragaw*	Ragaw*	Noun, proper
ragin	Rat, Beschluß	Noun, common, neuter
ragineis	Ratgeber, Ratsherr	Noun, common, masculine
raginon	etw. verwalten	Verb
ga-raginon	einen Rat geben	Verb
rahnjan	rechnen	Verb
faura-rahnjan	einen übertreffen an	Verb
ga-rahnjan	abschätzen	Verb
rahton	darreichen	Verb
Raibaikka	Raibaikka	Noun, proper
raidjan	verordnen	Verb
ga-raidjan	befehlen, verordnen, bestimmen	Verb
raihtis	nämlich, doch, etwa	Conjunction
gáraihtjan	als gerecht erweisen	Verb
at-gáraihtjan	vollends in Ordnung bringen	Verb
raihts	recht, grade	Adjective
raihtaba	recht, richtig	Adverb, Comparative
ur-raisjan	zum Aufstehn bringen, aufrichten, erwecken	Verb
raka	raka	Foreign word
uf-rakjan	aufrecken	Verb
Rama	Rama	Noun, proper
ur-rannjan	aufgehn lassen	Verb
rasta	Meile	Noun, common, feminine
ga-raþjan	zählen	Verb
raþjo	Abrechnung, Konto; Zahl	Noun, common, feminine
raþizo	leichter	Adjective, Comparative
bi-raubon	einen berauben	Verb
in-rauhtjan	erzürnt werden	Verb
raupjan	raufen	Verb
raus	Rohr	Noun, common, neuter
rauþs*	rot	Adjective
razda	Sprache, Sprechweise	Noun, common, feminine
razn	Haus	Noun, common, neuter
ga-redan	Vorsorge treffen für	Verb
faura-garedan	einen vorherbestimmen zu	Verb
und-redan	besorgen, gewähren	Verb
ur-redan	warum lasset ihr euch Satzungen auflegen, als lebtet ihr in der Welt	Verb
reiki	Reich, Herrschaft, Obrigkeit	Noun, common, neuter
reikinon	herrschen über	Verb
reikeis*	reikeis*	Adjective
reiks*	reiks*	Adjective
reiks	Herrscher, Obrigkeit	Noun, common, masculine
reiran	zittern	Verb
in-reiran	erzittern, erbeben	Verb
reiro	das Zittern	Noun, common, feminine
ur-reisan	erstehn, sich erheben	Verb
Resa*	Resa*	Noun, proper
rign	Regen	Noun, common, neuter
rignjan	regnen	Verb
rikan	häufen	Verb
rimis*	Ruhe	Noun, common, neuter
rinnan	rennen, laufen	Verb
and-rinnan	streiten	Verb
at-rinnan	hinzulaufen	Verb
du-atrinnan	hinzulaufen	Verb
bi-rinnan	einen umringen	Verb
du-rinnan	hinzulaufen	Verb
fair-rinnan	sich erstrecken, reichen zu	Verb
faur-rinnan	vorhergehn	Verb
fra-rinnan	sich verlaufen zu, geraten unter	Verb
ga-rinnan	zusammenlaufen, zusammenkommen	Verb
und-rinnan	zufallen, zuteil werden	Verb
ur-rinnan	auslaufen, ausgehn	Verb
rinno	Gießbach	Noun, common, feminine
riqis	Finsternis	Noun, common, neuter
riqizeins	finster	Adjective
riqizjan	finster werden	Verb
riurei	Vernichtung, vom ewigen Tod gesagt	Noun, common, feminine
riurjan	verderben	Verb
riureis*	vergänglich, sterblich	Adjective
riurs*	riurs*	Adjective
rodjan	sprechen, reden	Verb
bi-rodjan	murrend reden, murren	Verb
miþ-rodjan	mit einem reden	Verb
rohsns	Hof	Noun, common, feminine
Rufus	Rufus	Noun, proper
rūmis	Raum	Noun, common
Rūma*	Rūma*	Noun, proper
ur-rūmnan	sich erweitern	Verb
Rūmoneis*	Rūmoneis*	Noun, proper
rūms	geräumig	Adjective
rūna	Geheimnis	Noun, common, feminine
runs	Lauf	Noun, common, masculine
sa	der, dieser	Pronoun, demonstrative
Sabaillius	Sabellius	Noun, proper
saban*	feine Leinwand	Noun, common
Sabaoþ	Sabaoþ	Noun, proper
sabbato	sabbato	Noun, common, masculine
Saddukaieis	Saddukaieis	Noun, proper
sads	satt	<none>
saei	der	Pronoun, relative
saggqjan	senken	Verb
uf-saggqjan	versenken	Verb
uf-saggqjan	uf-saggqjan	<none>
saggqa	Untergang, Westen	Noun, common
saggws	Vorlesung, Rezitation	Noun, common, masculine
sah	der u. kein andrer, eben der	Pronoun, demonstrative
saƕazuh	was auch immer	Pronoun, indefinite
sai	ecce, sieh	Adverb
saian	säen	Verb
in-saian	einsäen	Verb
saihs	sechs	Numeral, cardinal
saihsta	der sechste	Numeral, ordinal
saiƕan	sehn	Verb
and-saiƕan	auf etw. sehn, es berücksichtigen	Verb
at-saiƕan	auf etw. sehn, acht geben	Verb
bi-saiƕan	umsehn	Verb
ga-saiƕan	erblicken	Verb
in-saiƕan	hinsehn; auf etw. sehn, nach etw. sehn	Verb
þairh-saiƕan	dúrchschauen	Verb
us-saiƕan	aufblicken	Verb
in-sailjan	anseilen	Verb
Sailaum	Sailaum	Noun, proper
Saimaiein	Saimaiein	Noun, proper
sainjan	zögern, säumen	Verb
sáir	Schmerz	Noun, common, neuter
Sairok	Sairok	Noun, proper
saiwala	Seele	Noun, common, feminine
saiws	See	Noun, common, masculine
Saixaineia	Saixaineia	Noun, proper
sakan	streiten	Verb
and-sakan	widersprechen, bekämpfen	Verb
ga-sakan	schelten	Verb
in-sakan	vorstellen, anraten; eintreten für; bezeichnen	Verb
ana-insakan	ana-insakan	Verb
us-sakan	erörtern, vorlegen	Verb
sakjo	Streit	Noun, common, feminine
sakkus	Sack	Noun, common, masculine
sakuls	streitsüchtig	Adjective
Salamis	Salamis	Noun, proper
Salaþiel	Salaþiel	Noun, proper
salbon	salben	Verb
ga-salbon	salben	Verb
salbons	Salbe	Noun, common, feminine
saldra	leichtfertiges Geschwätz	Noun, common, feminine
saliþwos	Herberge	Noun, common, feminine
saljan	opfern	Verb
and-saljan	darbringen	Verb
ga-saljan	zum Opfer bringen	Verb
saljan	herbergen, bleiben	Verb
us-saljan	Herberge nehmen	Verb
Salmon	Salmon	Noun, proper
Salome	Salome	Noun, proper
salt	Salz	Noun, common, neuter
saltan	salzen	Verb
sama	derselbe, der nämliche	Pronoun
samafraþjis*	samafraþjis*	Adjective
samakuns*	desselben Geschlechts, verwandt	Adjective
samalauþs*	gleich groß	Adjective
samaleiks	gleich	Adjective
samaleiko	auf gleiche Weise, gleich-, ebenfalls	Adverb
samana	zusammen, zugleich	Adverb
samaqiss	Übereinstimmung	Noun, common, feminine
Samareites	Samareites	Noun, proper
Samaria	Samaria	Noun, proper
samasaiwals*	einmütig	Adjective
samaþ	nach einem und demselben Ort hin; zusammen	Adverb
samjan	die den Menschen zu gefallen suchen	Verb
sandjan	senden	Verb
ga-sandjan	entsenden, geleiten	Verb
faura-gasandjan	vorausentsenden	Verb
in-sandjan	entsenden	Verb
miþ-insandjan	mitentsenden	Verb
ga-miþsandjan	mitentsenden	Verb
us-sandjan	aussenden	Verb
Saraipta	Saraipta	Noun, proper
Sarra	Sarra	Noun, proper
sarwa	Waffen	Noun, common, neuter
Satana	Satan	Noun, proper
satjan	setzen	Verb
af-satjan	absetzen, entlassen	Verb
at-satjan	darstellen	Verb
bi-satjan	umgeben	Verb
ga-satjan	hinsetzen, hinstellen, hinlegen	Verb
faura-gasatjan	vorstellen, darstellen	Verb
miþ-satjan	versetzen	Verb
us-satjan	setzten darauf	Verb
saþs*	satt	Adjective
Saudauma	Saudauma	Noun, proper
sauhts*	Krankheit	Noun, common, feminine
sauïl	Sonne	Noun, common, neuter
Saulaumon	Saulaumon	Noun, proper
bi-sauljan	besudeln	Verb
bi-saulnan	besudelt werden	Verb
sauls	Säule	Noun, common, feminine
Saur	Syrer	Noun, common, masculine
Saurais	Saurais	Noun, proper
saurga	Sorge, Kummer	Noun, common, feminine
saurgan	sorgen, bekümmert sein	Verb
Saurini	Syrerin	Noun, common, feminine
sauþa	Grund	Noun, common, feminine
sauþs	Opfer	Noun, common, masculine
sei	sei	<none>
Seidona*	Seidona*	Noun, proper
Seidoneis*	Seidoneis*	Noun, proper
Seimon	Seimon	Noun, proper
Seina	Seina	Noun, proper
sik	sich	Pronoun, personal, reflexive
seinaigairnai	selbstsüchtig	Adjective
*seins	sein, ihr	Pronoun, possesive, reflexive
seiteins	täglich	Adjective
seiþus	spät	Adjective
selei	Tüchtigkeit, Güte	Noun, common, feminine
sels	gut, gütig	Adjective
Sem	Sem	Noun, proper
Seþ*	Seþ*	Noun, proper
sibakþanei	sibakþanei	Foreign word
sibja	Sippenverhältnis, Verwandtschaft	Noun, common, feminine
ga-sibjon	sich mit einem  versöhnen	Verb
sibun	sieben	Numeral, cardinal
sibuntehund	siebzig	Numeral, cardinal
sidon	üben	Verb
sidus	Sitte, Gewohnheit	Noun, common, masculine
sifan	sich freuen, frohlocken	Verb
siggwan	singen; vorlesen, rezitieren	Verb
us-siggwan	vorlesen, rezitieren	Verb
sigis	Sieg	Noun, common, neuter
sigislaun	Siegeslohn	Noun, common, neuter
sigljan	einen mit einem Siegel versehn, ihn siegeln	Verb
faur-sigljan	versiegeln	Verb
ga-sigljan	besiegeln, bestätigen	Verb
sigljo	Siegel	Noun, common, neuter
sigqan	sinken	Verb
dis-sig(g)qan	untersinken	Verb
ga-siggqan	versinken, untergehn	Verb
†sihw	†sihw	Unassigned
sikls*	Sekel	Noun, common, masculine
ana-silan	verstummen	Verb
silba	selbst	Pronoun
Silbanus	Silvanus	Noun, proper
silbasiuneis*	Augenzeuge	Noun, common, masculine
silbawiljis*	freiwillig	Adjective
sildaleik	Staunen, Verwunderung	Noun, common, neuter
sildaleikjan	anstaunen, bewundern	Verb
sildaleiknan	bewundert werden	Verb
sildaleiks	erstaunlich, wunderbar	Adjective
Siloam	Siloam	Noun, proper
silubr	Silber	Noun, common, neuter
silubreins	silbern	Adjective
simle	einst, vordem	Adverb, temporal
sinapis	Senf	Noun, common
sineigs	sineigs	Adjective
sinista	der Älteste	Adjective, Superlative
sinteins	täglich	Adjective
sinteino	immer, allezeit	Adverb
sinþs*	Gang	Noun, common, masculine
Sion	Sion	Noun, proper
siponeis	Schüler, Jünger	Noun, common, masculine
siponjan	jemandes Schüler sein	Verb
sitan	sitzen	Verb
and-sitan	scheuen, Rücksicht nehmen	Verb
bi-sitan	herumsitzen, herumwohnen	Verb
bisitands	Nachbar	Noun, common, masculine
dis-sitan	ergreifen	Verb
ga-sitan	sich niedersetzen, Platz nehmen	Verb
us-sitan	sich aufsetzen, sich aufrichten	Verb
sitls	Sitz	Noun, common, masculine
siujan	nähen	Verb
siukan	siechen, krank sein	Verb
siukei	Krankheit	Noun, common, feminine
siuks	krank, schwach	Adjective
siuns	Gesicht, das Sehen, Sehkraft; Gestalt, sinnfällige Erscheinung; Augenschein; Gesicht, Vision	Noun, common, feminine
skaban	schaben, scheren	Verb
bi-skaban	schaben, scheren	Verb
skadus	Schatten	Noun, common, masculine
ufar-skadwjan	überschatten	Verb
skaftjan	sich bereit machen	Verb
skaidan	scheiden, trennen	Verb
af-skaidan	absondern, abtrennen	Verb
dis-skaidan	zerteilen	Verb
ga-skaidan	sich zurückziehn	Verb
ga-skaidnan	geschieden werden	Verb
skal	schuldig sein, sollen	<none>
skalja*	Ziegel	Noun, common, feminine
skalkinassus	Knechtschaft, Dienst; Gottesdienst	Noun, common, masculine
skalkinon	einem dienen	Verb
miþ-skalkinon	Mitknecht sein, mitdienen	Verb
skalks	Knecht, Diener	Noun, common, masculine
skaman	sich schämen	Verb
ga-skaman	beschämt werden	Verb
skanda	Schande	Noun, common, feminine
ga-skapjan	erschaffen	Verb
Skariotau	Skariotau	<none>
us-skarjan	daß sie nüchtern werden, zur Besinnung kommen aus den Schlingen des Teufels	Verb
skattja	Wechsler	Noun, common, masculine
skatts	Geld, Geldstück; Mine	Noun, common, masculine
†skaþaila	schädlich	<none>
skaþis	Schaden, Unrecht	Noun, common, neuter
skaþjan	schaden	Verb
ga-skaþjan	einem Schaden zufügen in	Verb
skaþuls	schädlich	Adjective
skaudaraip	Riemen	Noun, common
skauns*	anmutig	Adjective
skauneis*	skauneis*	Adjective
skaurpjo	Skorpion	Noun, common, feminine
skauta	Zipfel	Noun, common
[us-skaujan]	daß sie nüchtern werden, zur Besinnung kommen aus den Schlingen des Teufels	<none>
skeimam	Leuchte	Noun, common
skeinan	scheinen, leuchten; aufblitzen	Verb
bi-skeinan	umleuchten	Verb
skeireins	Auslegung, Erklärung	Noun, common, feminine
ga-skeirjan	erklären	Verb
skeirs	klar, deutlich	Adjective
skewjan	wandern	Verb
skildus*	Schild	Noun, common, masculine
skilja*	Fleischer	Noun, common, masculine
skilliggs	Schilling	Noun, common, masculine
skip	Schiff	Noun, common, neuter
af-skiuban	verstoßen, von sich wegstoßen	Verb
skohs	Schuh	Noun, common, masculine
skohsl	böser Geist, Dämon	Noun, common, neuter
dis-skreitan	etw. zerreißen	Verb
dis-skritnan	zerreißen	Verb
skufta	Haupthaar	Noun, common
skuggwa	Spiegel	Noun, common, masculine
skula	Schuldner, der Schuldige	Noun, common, masculine
skulan	schuldig sein, sollen	Verb
skūra	Schauer	Noun, common, feminine
Skwþus	Skwþus	Noun, proper
slahals	Raufbold	Noun, common, masculine
slahan	schlagen	Verb
af-slahan	abschlagen	Verb
slahs	Schlag	Noun, common, masculine
slaihts	schlicht; glatt, eben	Adjective
slauhts	das Schlachten	Noun, common, feminine
af-slaupjan	abstreifen, ablegen	Verb
af-slauþjan	in Angst versetzen	Verb
af-slauþnan	erschrecken	Verb
slawan	schweigen	Verb
ana-slawan	verstummen	Verb
ga-slawan	verstummen	Verb
sleiþa	Schaden	Noun, common, feminine
sleiþei	Gefahr	Noun, common, feminine
ga-sleiþjan	beschädigen	Verb
sleiþs*	schlimm, gefährlich	Adjective
sleideis*	sleideis*	Adjective
slepan	schlafen	Verb
ana-slepan	entschlummern, entschlafen	Verb
ga-slepan	entschlummern, entschlafen	Verb
sleps*	Schlaf	Noun, common
fra-slindan	verschlingen, verschlucken	Verb
sliupan	schleichen, schlüpfen	Verb
uf-sliupan	einschleichen	Verb
smairþr*	Fett	Noun, common, neuter
smakka	Feige	Noun, common, masculine
smakkabagms	Feigenbaum	Noun, common, masculine
smalista	der Kleinste	Adjective, Superlative
smarna	Mist, Kot	Noun, common, feminine
bi-smeitan	bestreichen	Verb
ga-smeitan	aufstreichen auf	Verb
ga-smiþon	 bewirken	Verb
smwrn*	Myrrhe	Noun, common, neuter
snaga	Gewand, Mantel	Noun, common, masculine
snaiws	Schnee	Noun, common, masculine
at-snarpjan	anfassen, anrühren	Verb
sneiþan	schneiden; ernten	Verb
†af-sneiþan	†af-sneiþan	Verb
uf-sneiþan	schlachten	Verb
sniumjan	eilen	Verb
ga-sniumjan	hineilen, kommen	Verb
sniumundo	eilends	Adverb
sniumundos	eiliger	Adverb, Comparative
sniwan	eilen	Verb
du-atsniwan	hinzueilen	Verb
bi-sniwan	zuvorkommen	Verb
faur-bisniwan	vorangehn	Verb
faur-sniwan	vorwegnehmen	Verb
ga-sniwan	ereilen, gelangen zu	Verb
snorjo	Korb	Noun, common, feminine
snutrei	Weisheit	Noun, common, feminine
snutrs*	weise	Adjective
so	der, dieser	<none>
sokareis	Forscher	Noun, common, masculine
sokeins	das Suchen	Noun, common, feminine
sokjan	suchen	Verb
ga-sokjan	aufsuchen	Verb
miþ-sokjan	mitdisputieren	Verb
us-sokjan	erforschen	Verb
sokns	Disputation, Streitfrage, Grübelei	Noun, common, feminine
Soseipatrus	Soseipatrus	Noun, proper
soþa	Sättigung	Noun, common
ga-soþjan	ersättigen	Verb
spaikulatur	Späher, Ordonnanz	Noun, common
spaiskuldra	Speichel	Noun, common
sparwa	Sperling	Noun, common, masculine
spaurds	Rennbahn	Noun, common, feminine
speiwan	speien	Verb
and-speiwan	entgegenspeien	Verb
bi-speiwan	bespeien	Verb
ga-speiwan	ausspeien	Verb
spediza*	spät	Adjective, Comparative
spedists	der jüngste Tag	Adjective, Superlative
spedumists	spedumists	Adjective, Superlative
spilda	Tafel	Noun, common, feminine
spill	Sage, Fabel	Noun, common, neuter
spilla	Verkündiger	Noun, common, masculine
spillon	künden	Verb
ga-spillon	verkünden	Verb
þiuþ-spillon	Gutes, frohe Botschaft künden	Verb
us-spillon	verkünden, erzählen	Verb
waila-spillon	verkünden, erzählen	Verb
spinnan	spinnen	Verb
sprauto	schnell, bald	Adverb
spwreidans	aus Binsen o. Palmblättern geflochtener Korb	Noun, common, masculine
stabeis	Grundstoffe, Elemente	Noun, common, masculine
†us-stagg	stich aus	Verb
ga-stagqjan	etwas anstoßen an	Verb
Staifanus	Staifanus	Noun, proper
staiga	Steig, Weg	Noun, common, feminine
stainahs	steinig	Adjective
staineins	steinern	Adjective
stainjan	steinigen	Verb
stains	Stein	Noun, common, masculine
stairno	Stern	Noun, common, feminine
stairo	die Unfruchtbare	Noun, common, feminine
staks	Mal, Wundmal	Noun, common, masculine
and-staldan	einen versehn mit	Verb
ga-staldan	erwerben, bekommen	Verb
stamms	lallend, stammelnd	Adjective
standan	stehn	Verb
af-standan	abstehn, ablassen, abfallen	Verb
and-standan	entgegenstehn, widerstehn, widerstreiten	Verb
at-standan	dabei stehn	Verb
bi-standan	herumstehn, umringen	Verb
faura-standan	Vorsteher	Verb
ga-standan	stehn bleiben, halt machen	Verb
in-standan	daß der Tag bevorsteht	Verb
miþ-standan	zusammenstehn mit	Verb
twis-standan	sich trennen, Abschied nehmen von	Verb
us-standan	sich erheben, aufbrechen, auferstehn	Verb
staþa	Ufer, Gestade	Noun, common
staþs	Stätte, Ort ; Raum, Platz	Noun, common, masculine
staua	Gericht, Urteil, Streitsache	Noun, common, feminine
staua	Richter	Noun, common, masculine
stauastols	Richterstuhl	Noun, common, masculine
ga-staurknan	vertrocknen	Verb
and-staurran	sie bezeigten ihr Unwillen	Verb
stautan	stoßen an	Verb
steigan	steigen	Verb
at-steigan	hinabsteigen	Verb
ga-steigan	hineinsteigen	Verb
ufar-steigan	darüber empor steigen	Verb
us-steigan	emporsteigen	Verb
stibna	Stimme	Noun, common, feminine
[usstigg]	stich aus	<none>
stigqan	stoßen	Verb
bi-stigqan	anstoßen an	Verb
ga-stiggqan	anstoßen	Verb
stikls	Becher, Kelch	Noun, common, masculine
stiks*	Stich, Punkt	Noun, common, masculine
stilan	stehlen	Verb
stiur	Stier, Kalb	Noun, common, masculine
stiurjan	aufstellen, geltend machen	Verb
stiwiti*	Geduld, geduldiges Ertragen	Noun, common, neuter
ana-stodjan	anfangen, anheben	Verb
du-stodjan	anfangen, anheben	Verb
stojan	stojan	Verb
ga-stojan	ein Urteil abgeben über urteilen	Verb
stols	Stuhl, Thron	Noun, common, masculine
stomin	Wesen, Gegenstand, Zuversicht, Erwartung	Noun, common
[ga-stoþan]	aufrecht erhalten	Verb
straujan	streuen	Verb
ga-straujan	bestreuen	Verb
uf-straujan	darunterstreuen, únterbreiten	Verb
striks	Strich	Noun, common, masculine
stubjus	Staub	Noun, common, masculine
sulja*	Sohle	Noun, common, feminine
